System Properties:																																												
Operating System:	 Microsoft Windows NT 6.0.6001 Service Pack 1																																											
System User Name:	 Tobii																																											
Machine Name:	 MOUNTDOOM																																											
																																												
Data properties:																																												
																																												
Recording name:	 Rec 25																																											
Recording date:	 7/9/2009																																											
Recording time:	 5:54:17 PM																																											
Recording resolution:	 1280 x 800																																											
																																												
Export date:	 7/13/2009																																											
Export time:	 12:49:19 PM																																											
																																												
Participant:	 P1																																											
Filter settings:																																												
																																												
Eye: Average																																												
Validity: Normal																																												
Fixation filter: Tobii fixation filter																																												
Fixation radius: 35																																												
																																												
Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	AudioSampleNumber		
0																					MovieStart	128	0	0	colorbars_Final.avi																	
19	17:54:17.019	00:00:00.019	0	721.4411	346.073300	0.646055	0.406337	704.720100	3.321138	0	728.7023	317.053000	0.486538	0.404214	708.102400	3.746828	0	5	725.000000	332						colorbars_Final.avi	0	1280	800	0	0	720	312	300	0	Content		725.000000	332	19025	2487463910	224994
36	17:54:17.036	00:00:00.035	1	722.2939	301.590100	0.646152	0.406333	704.618200	3.247528	0	718.0984	315.279500	0.486612	0.404176	708.122200	3.749718	0	5	720.000000	308						colorbars_Final.avi	0	1280	800	0	0	720	312	300	0	Content		720.000000	308	35647	2487480532	225792
52	17:54:17.052	00:00:00.052	2	766.988	319.288400	0.645913	0.406357	704.845300	3.246656	0	788.4855	354.566000	0.486334	0.404161	708.249400	3.791661	0	6	778.000000	337						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		778.000000	337	52396	2487497281	226596
69	17:54:17.069	00:00:00.069	3	807.1665	334.381600	0.645767	0.406494	704.816200	3.290431	0	798.1249	360.943500	0.486177	0.404228	708.557600	3.776220	0	6	803.000000	348						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		803.000000	348	69018	2487513903	227394
86	17:54:17.086	00:00:00.085	4	803.8803	343.267400	0.645818	0.406408	705.166400	3.310439	0	788.9633	343.112700	0.486194	0.404199	708.486700	3.760524	0	6	796.000000	343						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		796.000000	343	85638	2487530523	228192
102	17:54:17.102	00:00:00.102	5	808.2795	332.752900	0.645750	0.406277	705.081900	3.272855	0	792.443	353.410100	0.486145	0.404085	708.462000	3.797019	0	6	800.000000	343						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		800.000000	343	102262	2487547147	228990
119	17:54:17.119	00:00:00.119	6	800.1715	352.295300	0.645665	0.406080	704.993200	3.299461	0	793.8803	355.348100	0.486082	0.403934	708.373100	3.771347	0	6	797.000000	354						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		797.000000	354	119012	2487563897	229794
136	17:54:17.136	00:00:00.135	7	799.2861	335.832900	0.645545	0.406034	705.127600	3.303235	0	801.0078	348.253000	0.485978	0.403848	708.522600	3.770841	0	6	800.000000	342						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		800.000000	342	135630	2487580515	230591
152	17:54:17.152	00:00:00.152	8	797.0276	340.463800	0.645427	0.405921	705.114300	3.292220	0	807.1516	360.541200	0.485865	0.403810	708.590600	3.807654	0	6	802.000000	351						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		802.000000	351	152253	2487597138	231389
169	17:54:17.169	00:00:00.168	9	811.2452	343.962500	0.645312	0.405799	705.132300	3.309497	0	795.3225	362.534400	0.485648	0.403753	708.464500	3.804167	0	6	803.000000	353						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		803.000000	353	168875	2487613760	232187
186	17:54:17.186	00:00:00.185	10	799.1547	329.734600	0.645065	0.405577	705.070800	3.282131	0	801.2004	363.615600	0.485504	0.403698	708.390800	3.826508	0	6	800.000000	347						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		800.000000	347	185623	2487630508	232991
202	17:54:17.202	00:00:00.202	11	799.8992	324.799900	0.644925	0.405568	705.177500	3.306894	0	813.0942	351.970200	0.485349	0.403729	708.607700	3.782470	0	6	806.000000	338						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		806.000000	338	202244	2487647129	233789
219	17:54:17.219	00:00:00.218	12	798.2785	344.795300	0.644761	0.405429	705.094900	3.349089	0	798.8643	351.807700	0.485142	0.403682	708.480900	3.825436	0	6	799.000000	348						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		799.000000	348	218869	2487663754	234587
235	17:54:17.235	00:00:00.235	13	794.3378	333.896300	0.644606	0.405307	704.964100	3.315885	0	809.5521	344.973100	0.485028	0.403639	708.402900	3.811807	0	6	802.000000	339						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		802.000000	339	235491	2487680376	235384
252	17:54:17.252	00:00:00.252	14	793.1667	347.571200	0.644510	0.405294	705.092300	3.341920	0	811.0159	358.173400	0.484926	0.403648	708.564400	3.877672	0	6	802.000000	353						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		802.000000	353	252240	2487697125	236188
269	17:54:17.269	00:00:00.268	15	796.6533	344.289600	0.644458	0.405273	705.124900	3.338550	0	812.8808	359.243800	0.484875	0.403656	708.623700	3.868535	0	6	805.000000	352						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		805.000000	352	268863	2487713748	236986
285	17:54:17.285	00:00:00.285	16	776.6274	360.104600	0.644630	0.405225	705.211500	3.399937	0	792.4624	351.028700	0.485008	0.403623	708.603000	3.888012	0	6	785.000000	356						colorbars_Final.avi	0	1280	800	0	0	800	348	250	0	Content		785.000000	356	285486	2487730371	237784
302	17:54:17.302	00:00:00.302	17	574.2018	347.254900	0.645820	0.405322	705.155300	3.355228	0	621.4403	365.298800	0.486207	0.403593	708.386700	3.924627	0	7	598.000000	356						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		598.000000	356	302110	2487746995	238582
319	17:54:17.319	00:00:00.318	18	494.5892	352.964700	0.646418	0.405595	704.938000	3.356365	0	531.1175	371.643400	0.486969	0.403653	708.048800	3.928267	0	7	513.000000	362						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		513.000000	362	318854	2487763739	239386
335	17:54:17.335	00:00:00.335	19	519.0806	325.800700	0.646397	0.405547	705.152600	3.313586	0	548.9705	366.165900	0.486898	0.403612	708.550800	3.903713	0	7	534.000000	346						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		534.000000	346	335476	2487780361	240184
352	17:54:17.352	00:00:00.352	20	513.2038	341.311800	0.646414	0.405552	705.138100	3.307327	0	548.6099	348.260700	0.486914	0.403603	708.453900	3.866145	0	7	531.000000	345						colorbars_Final.avi	0	1280	800	0	0	530	365	300	0	Content		531.000000	345	352101	2487796986	240982
